ks	count
KP_20300156695524	1
KP_20300159231315	1
KP_20300160826471	1
KP_20300164037456	1
KP_20300162785462	1
KP_20300160564029	1
KP_20300159298813	1
KP_20300162903839	1
KP_20300162502602	1
KP_20300160387981	1
KP_20300155326113	1
KP_20300166168259	1
KP_20300165811132	1
KP_20300160353519	1
KP_20300159637597	1
KP_20300155494758	1
KP_20300165184954	1
KP_20300161316098	1
KP_20300160415333	1
KP_20300159306233	1
KP_20300160173188	1
KP_20300159456697	1
KP_20300159912128	1
KP_20300163491459	1
KP_20300162920294	1
KP_20300155279509	1
KP_20300082504686	1
KP_20300163492559	1
KP_20300166033767	1
KP_20300163724162	1
KP_20300164594747	1
KP_20300156832438	1
KP_20300161089766	1
KP_20300157639991	1
KP_20300163344178	1
KP_20300163067510	1
KP_20300163663995	1
KP_20300068540311	1
KP_20300163537873	1
KP_20300163280029	1
KP_20300159450044	1
KP_20300162830397	1
KP_20300162738333	1
KP_20300162814261	1
KP_20300158011657	1
KP_20300157685373	1
KP_20300155854653	1
KP_20300161288757	1
KP_20300161100896	1
KP_20300158724596	1
KP_20300160012010	1
KP_20300156959958	1
KP_20300154652067	1
KP_20300155869707	1
KP_20300159182957	1
KP_20300155596449	1
KP_20300165013658	1
KP_20300160617153	1
KP_20300163850845	1
KP_20300159177540	1
KP_20300162808090	1
KP_20300162033751	1
KP_20300161245162	1
KP_20300165928917	1
KP_20300161293770	1
KP_20300163314374	1
KP_20300155933427	1
KP_20300164844458	1
KP_20300154410218	1
KP_20300164885852	1
KP_20300164643688	1
KP_20300162750908	1
KP_20300164588608	1
KP_20300158693722	1
KP_20300159353479	1
KP_20300159829959	1
KP_20300164436155	1
KP_20300068553599	1
KP_20300158475462	1
KP_20300161666988	1
KP_20300159218229	1
KP_20300160970061	1
KP_20300160710283	1
KP_20300165218062	1
KP_20300163361563	1
KP_20300165794530	1
KP_20300156894080	1
KP_20300164966350	1
KP_20300161576019	1
KP_20300160136305	1
KP_20300162122919	1
KP_20300161393466	1
KP_20300162275244	1
KP_20300165305682	1
KP_20300155025480	1
KP_20300157327144	1
KP_20300155336308	1
KP_20300161305063	1
KP_20300160967285	1
KP_20300159541916	1
KP_20300162147372	1
KP_20300157846069	1
KP_20300164115251	1
KP_20300165001806	1
KP_20300156877167	1
KP_20300164149447	1
KP_20300157002735	1
KP_20300161107487	1
KP_20300164032968	1
KP_20300154418262	1
KP_20300162746174	1
KP_20300163995143	1
KP_20300164304011	1
KP_20300161897870	1
KP_20300156289097	1
KP_20300154123631	1
KP_20300163740608	1
KP_20300154425920	1
KP_20300158486325	1
KP_20300160426099	1
KP_20300162284319	1
KP_20300158114927	1
KP_20300163306478	1
KP_20300163228856	1
KP_20300160414084	1
KP_20300159379335	1
KP_20300162883836	1
KP_20300162545717	1
KP_20300155805381	1
KP_20300154349626	1
KP_20300163542508	1
KP_20300155182977	1
KP_20300161756499	1
KP_20300158777700	1
KP_20300159091281	1
KP_20300161762449	1
KP_20300160768924	1
KP_20300155205300	1
KP_20300158191979	1
KP_20300161889638	1
KP_20300155975051	1
KP_20300163423028	1
KP_20300163896948	1
KP_20300165171179	1
KP_20300154929752	1
KP_20300155987616	1
KP_20300161687231	1
KP_20300160206982	1
KP_20300157421861	1
KP_20300157903930	1
KP_20300163383765	1
KP_20300082518763	1
KP_20300156935670	1
KP_20300159548467	1
KP_20300156447736	1
KP_20300163386592	1
KP_20300166249562	1
KP_20300165067866	1
KP_20300157263912	1
KP_20300165016263	1
KP_20300163356173	1
KP_20300164577884	1
KP_20300156025931	1
KP_20300165683164	1
KP_20300157457120	1
KP_20300159943588	1
KP_20300156353457	1
KP_20300163608686	1
KP_20300161185149	1
KP_20300160180809	1
KP_20300164087271	1
KP_20300164688259	1
KP_20300164991043	1
KP_20300155580488	1
KP_20300164305959	1
KP_20300157365523	1
KP_20300162659652	1
KP_20300158090769	1
KP_20300166053424	1
KP_20300160290436	1
KP_20300164505317	1
KP_20300164921321	1
KP_20300164891783	1
KP_20300165741247	1
KP_20300163948043	1
KP_20300157166744	1
KP_20300068587051	1
KP_20300154568139	1
KP_20300156049946	1
KP_20300159380143	1
KP_20300156134234	1
KP_20300163536939	1
KP_20300163410308	1
KP_20300162365068	1
KP_20300163752815	1
KP_20300157532325	1
KP_20300164042444	1
KP_20300164393611	1
KP_20300165664881	1
KP_20300165042715	1
KP_20300163189830	1
KP_20300162560401	1
KP_20300160559291	1
KP_20300156816149	1
KP_20300159654239	1
KP_20300156264167	1
KP_20300157939011	1
KP_20300163872393	1
KP_20300160730573	1
KP_20300159128613	1
KP_20300155062533	1
KP_20300158842018	1
KP_20300156718396	1
KP_20300156100572	1
KP_20300154774757	1
KP_20300160236589	1
KP_20300157188115	1
KP_20300154896275	1
KP_20300160306610	1
KP_20300164581360	1
KP_20300157731078	1
KP_20300154970463	1
KP_20300163414307	1
KP_20300159491785	1
KP_20300163787219	1
KP_20300159791821	1
KP_20300154147314	1
KP_20300160577974	1
KP_20300159514789	1
KP_20300163716245	1
KP_20300154130656	1
KP_20300156744442	1
KP_20300164606529	1
KP_20300165997412	1
KP_20300164866281	1
KP_20300158022501	1
KP_20300157386471	1
KP_20300164471419	1
KP_20300162877790	1
KP_20300155753037	1
KP_20300164681042	1
KP_20300161526801	1
KP_20300156282142	1
KP_20300156594132	1
KP_20300159200897	1
KP_20300154994952	1
KP_20300156658437	1
KP_20300158010227	1
KP_20300165058076	1
KP_20300154776765	1
KP_20300161243371	1
KP_20300160038666	1
KP_20300156201063	1
KP_20300165729606	1
KP_20300164051731	1
KP_20300162448068	1
KP_20300156554464	1
KP_20300154159466	1
KP_20300162628135	1
KP_20300164633975	1
KP_20300159660148	1
KP_20300157176409	1
KP_20300160250916	1
KP_20300158118625	1
KP_20300162076556	1
KP_20300158774314	1
KP_20300155954763	1
KP_20300155307805	1
KP_20300154150025	1
KP_20300165130733	1
KP_20300159543584	1
KP_20300154460297	1
KP_20300158273107	1
KP_20300163245349	1
KP_20300158477981	1
KP_20300159271991	1
KP_20300154174191	1
KP_20300155478259	1
KP_20300164041325	1
KP_20300163851034	1
KP_20300165926214	1
KP_20300157536535	1
KP_20300163167952	1
KP_20300163943918	1
KP_20300163622816	1
KP_20300160335066	1
KP_20300164965436	1
KP_20300158311551	1
KP_20300166034264	1
KP_20300162759045	1
KP_20300163142895	1
KP_20300158675483	1
KP_20300160580703	1
KP_20300164143817	1
KP_20300158766291	1
KP_20300157390090	1
KP_20300164518634	1
KP_20300155274177	1
KP_20300068539012	1
KP_20300156586088	1
KP_20300155841923	1
KP_20300156005981	1
KP_20300164287451	1
KP_20300165801043	1
KP_20300158107262	1
KP_20300157097229	1
KP_20300155218928	1
KP_20300155752573	1
KP_20300164930927	1
KP_20300158062122	1
KP_20300164016069	1
KP_20300161751632	1
KP_20300164900435	1
KP_20300155813476	1
KP_20300162710825	1
KP_20300160330867	1
KP_20300155507548	1
KP_20300159786754	1
KP_20300162570071	1
KP_20300161113735	1
KP_20300163288784	1
KP_20300159127019	1
KP_20300163203635	1
KP_20300159269329	1
KP_20300157191249	1
KP_20300154157847	1
KP_20300162846517	1
KP_20300159388777	1
KP_20300154421751	1
KP_20300155745402	1
KP_20300162910185	1
KP_20300159207858	1
KP_20300158092177	1
KP_20300164876379	1
KP_20300158184071	1
KP_20300162919768	1
KP_20300164926123	1
KP_20300163613863	1
KP_20300161468798	1
KP_20300159945576	1
KP_20300164523339	1
KP_20300164644711	1
